objectID,isHighlight,accessionYear,isPublicDomain,objectName,artistDisplayName,artistNationality,artistGender,objectBeginDate,objectEndDate,country,terms,constructionTime
461448.0,False,1975,True,Cutting from an antiphonary,Maestro Daddesco,Italian,Homme,1307.0,1318.0,Italy,"['Annunciation', 'Archangel Gabriel', 'Virgin Mary']",11.0
461450.0,False,1975,True,Manuscript and illuminations,Francesco di Giorgio Martini,Italian,Homme,1467.0,1478.0,Italy,"['Saints', 'Men']",11.0
461447.0,False,1975,True,Cutting from a psalter,Zanobi Strozzi,Italian,Homme,1447.0,1453.0,Italy,['Kings'],6.0
461545.0,False,1975,True,Leaf from a mariegola,Cristoforo Cortese,Italian,Homme,1422.0,1437.0,Italy,"['Men', 'Saint Mark']",15.0
461294.0,False,1975,False,Painting,Lucy Valore,French,Femme,1948.0,1948.0,France,"['Boys', 'Swans', 'Boats']",0.0
460039.0,False,1975,True,Drawing,Monogrammist M,French,Homme,1828.0,1876.0,France,"['Vegetables', 'Women']",48.0
460024.0,False,1975,False,Drawing,John Charles Dollman,British,Homme,1871.0,1934.0,United Kingdom,['Tigers'],63.0
459737.0,False,1975,False,Drawing,Hippolyte Petitjean,French,Homme,1912.0,1914.0,France,['Landscapes'],2.0
460119.0,False,1975,False,Drawing,Marcel Vertès,Hungarian,Homme,1915.0,1961.0,Hungary,"['Men', 'Bulls']",46.0
460374.0,False,1975,False,Painting,Dietz Edzard,German,Homme,1943.0,1943.0,Germany,['Women'],0.0
460070.0,False,1975,False,Drawing,Jean-François Raffaëlli,French,Homme,1882.0,1882.0,France,"['Carriages', 'Landscapes']",0.0
460069.0,False,1975,False,Drawing,Jean-François Raffaëlli,French,Homme,1880.0,1880.0,France,"['Roads', 'Landscapes']",0.0
460110.0,False,1975,False,Drawing,Marcel Vertès,Hungarian,Homme,1915.0,1961.0,Hungary,['Women'],46.0
460115.0,False,1975,False,Drawing,Marcel Vertès,Hungarian,Homme,1915.0,1961.0,Hungary,"['Musical Instruments', 'Costumes', 'Women', 'Musicians']",46.0
460120.0,False,1975,False,Drawing,Marcel Vertès,Hungarian,Homme,1915.0,1961.0,Hungary,"['Guitars', 'Girls']",46.0
460111.0,False,1975,False,Drawing,Marcel Vertès,Hungarian,Homme,1915.0,1961.0,Hungary,"['Men', 'Women']",46.0
460118.0,False,1975,False,Drawing,Marcel Vertès,Hungarian,Homme,1915.0,1961.0,Hungary,['Girls'],46.0
460116.0,False,1975,False,Drawing,Marcel Vertès,Hungarian,Homme,1915.0,1961.0,Hungary,['Sadness'],46.0
460112.0,False,1975,False,Drawing,Marcel Vertès,Hungarian,Homme,1915.0,1961.0,Hungary,['Women'],46.0
460799.0,False,1975,True,Leaf from a book of hours (?),Southern Netherlands,Southern Netherlands,Homme,1397.0,1413.0,Netherlands,"['Dragons', 'Angels', 'Christ']",16.0
459357.0,False,1975,True,Drawing,Claude Lorrain (Claude Gellée),French,Homme,1645.0,1645.0,France,"['Landscapes', 'Jesus', 'Angels', 'Virgin Mary']",0.0
459358.0,False,1975,True,Drawing,Claude Lorrain (Claude Gellée),French,Homme,1648.0,1648.0,France,"['Sheep', 'Landscapes']",0.0
459736.0,False,1975,False,Drawing,Hippolyte Petitjean,French,Homme,1912.0,1914.0,France,['Bridges'],2.0
459582.0,False,1975,True,Leaf from a breviary,Simon Marmion,French,Homme,1464.0,1473.0,France,"['Women', 'Heaven', 'Angels', 'Christ']",9.0
461288.0,False,1975,False,Painting,Dietz Edzard,German,Homme,1945.0,1945.0,Germany,"['Women', 'Dancers']",0.0
461298.0,False,1975,True,Cutting from a gradual,Master of the Codex Rossiano,Sienese,Homme,1385.0,1389.0,Italy,['Angels'],4.0
461293.0,False,1975,True,Cutting from a gradual,Domenico Morone,Italian,Homme,1497.0,1503.0,Italy,['Men'],6.0
461367.0,False,1975,False,Painting,Dietz Edzard,German,Homme,1945.0,1945.0,Germany,"['Dancers', 'Women']",0.0
461353.0,False,1975,True,Cutting from an antiphonary,Niccolò di ser Sozzo,Italian,Homme,1339.0,1353.0,Italy,"['Saint Peter', 'Christ', 'Virgin Mary']",14.0
462345.0,False,2007,False,Painting,Marcel Vertès,Hungarian,Homme,1948.0,1948.0,Hungary,"['Heads', 'Women']",0.0
462005.0,False,1975,True,Manuscript and illuminations,Cristoforo Cortese,Italian,Homme,1398.0,1410.0,Italy,"['Harps', 'Angels']",12.0
462600.0,False,1975,False,Palette,Marcel Vertès,Hungarian,Homme,1947.0,1948.0,Hungary,,1.0
461670.0,False,1975,False,Painting,Marcel Dyf,French,Homme,1944.0,1954.0,France,"['Women', 'Portraits']",10.0
461665.0,False,1975,False,Painting,Dietz Edzard,German,Homme,1943.0,1943.0,Germany,"['Women', 'Fans']",0.0
460635.0,False,1975,False,Painting,Carlo Canevari,Italian,Homme,1922.0,1922.0,Italy,"['Men', 'Women']",0.0
466677.0,False,1927,True,Book of Hours; Manuscript leaf,Simon Bening,Netherlandish,Homme,1530.0,1530.0,Netherlands,"['Angels', 'Christ', 'Doves']",0.0
460962.0,False,1975,False,Painting,Dietz Edzard,German,Homme,1943.0,1943.0,Germany,['Women'],0.0
460342.0,False,1975,True,Leaf from a book of hours,France,France,Homme,1452.0,1463.0,France,"['Angels', 'Virgin Mary']",11.0
460362.0,False,1975,False,Painting,Dietz Edzard,German,Homme,1943.0,1943.0,Germany,"['Portraits', 'Women', 'Dancers']",0.0
461011.0,False,1975,True,Cutting from an antiphonary,Osservanza Master,Italian,Homme,1427.0,1443.0,Italy,"['Saints', 'Virgin Mary']",16.0
461010.0,False,1975,True,"Leaf from manuscript, illumination",Simon Bening,Netherlandish,Homme,1520.0,1525.0,Netherlands,"['Christ', 'Virgin Mary']",5.0
461043.0,False,1975,True,Manuscript and illuminations,Francesco Morone,Veronese,Homme,1507.0,1518.0,Italy,"['Women', 'Madonna and Child', 'Saints']",11.0
461128.0,False,1975,True,Cutting from an antiphonary,Lorenzo Monaco (Piero di Giovanni),Italian,Homme,1403.0,1410.0,Italy,"['Last Judgement', 'Men', 'Christ']",7.0
461127.0,False,1975,True,Leaf from a psalter,Southern Germany or Austria,Southern Germany or Austria,Homme,1235.0,1250.0,Austria,"['Jesus', 'Adoration of the Magi', 'Virgin Mary']",15.0
461122.0,False,1975,True,Cutting from an antiphonary,Sano di Pietro (Ansano di Pietro di Mencio),Italian,Homme,1467.0,1476.0,Italy,"['Men', 'Women', 'Saints']",9.0
461124.0,False,1975,True,Leaf from a book of hours,France,France,Homme,1477.0,1488.0,France,"['Reading', 'Sheep']",11.0
461161.0,False,1975,True,Leaf from a book of hours,Master of Guillaume Lambert,French,Homme,1482.0,1488.0,France,['Madonna and Child'],6.0
457785.0,False,2012,False,Painting,Shirazeh Houshiary,Iranian-British,Femme,2012.0,2012.0,England,,0.0
206167.0,False,1974,True,"Snuffbox, painting",G.R.C.,Swiss,Homme,1785.0,1795.0,Switzerland,"['Portraits', 'Women']",10.0
461008.0,False,1975,True,Leaf from a missal,Housebook Master,German,Homme,1481.0,1482.0,Germany,"['Christ', 'Virgin Mary', 'Skulls', 'Dogs', 'Crucifixion']",1.0
459362.0,False,1975,True,Drawing,Giovanni Francesco Grimaldi,Italian,Homme,1650.0,1650.0,Italy,['Trees'],0.0
459010.0,False,1975,True,Triptych,Matteo di Pacino,Italian,Homme,1380.0,1390.0,Italy,"['Madonna and Child', 'Crucifixion', 'Nativity', 'Saints']",10.0
370460.0,False,2005,True,Drawing,Cornelis Troost,Dutch,Homme,1744.0,1744.0,Netherlands,"['Doors', 'Fireplaces', 'Interiors', 'Men']",0.0
467415.0,False,1931,False,Choir Book; Manuscript cutting,Spanish Forger,French,Homme,1875.0,1925.0,France,"['Visitation', 'Virgin Mary']",50.0
466606.0,False,1925,True,Breviary; Manuscript,Jan van Keerberghen,Dutch,Homme,1606.0,1606.0,Netherlands,,0.0
470883.0,False,1925,True,Antiphonary; Manuscript,Manuel de Boada Guittierrez,Spanish,Homme,1595.0,1605.0,Spain,,10.0
459069.0,False,1975,True,Painting,David Teniers the Younger,Flemish,Homme,1650.0,1659.0,Belgium,"['Animals', 'Adam', 'Eve', 'Snakes']",9.0
460647.0,False,1975,False,Painting,Armand Sinko,French,Homme,1950.0,1959.0,France,"['Pears', 'Still Life']",9.0
461041.0,False,1975,False,Painting,Armand Sinko,French,Homme,1950.0,1959.0,France,"['Fish', 'Flowers', 'Still Life']",9.0
460707.0,False,1975,True,Drawing,Unknown,,Homme,1830.0,1840.0,,['Ships'],10.0
459348.0,False,1975,True,Drawing,Lievin Cruyl,,Homme,1672.0,1673.0,,"['Buildings', 'Obelisks', 'Cities']",1.0
459349.0,False,1975,True,Drawing,Lievin Cruyl,,Homme,1670.0,1674.0,,"['Buildings', 'Cities']",4.0
189433.0,False,1907,True,Overdoor,French Painter,French,Homme,1770.0,1790.0,France,"['Profiles', 'Women', 'Dogs', 'Flowers']",20.0
189523.0,False,1907,True,Overdoor,Donatello,Italian,Homme,1770.0,1790.0,Italy,"['Children', 'Dancing']",20.0
189530.0,False,1907,True,Overdoor,French Painter,French,Homme,1700.0,1799.0,France,"['Cupid', 'Dolphins']",99.0
189536.0,False,1907,True,Overdoor,,,Homme,1770.0,1790.0,,"['Agriculture', 'Trees']",20.0
189537.0,False,1907,True,Overdoor,,,Homme,1770.0,1790.0,,"['Garlands', 'Men', 'Women', 'Dogs']",20.0
189522.0,False,1907,True,Overdoor,Donatello,Italian,Homme,1770.0,1790.0,Italy,"['Children', 'Dancing']",20.0
189728.0,False,1907,True,Overdoors,French Painter,French,Homme,1770.0,1790.0,France,"['Cupid', 'Nymphs', 'Diana', 'Trees']",20.0
189551.0,False,1907,True,Painting,French Painter,French,Homme,1700.0,1799.0,France,"['Galatea', 'Infants', 'Pygmalion']",99.0
189548.0,False,1907,True,Overdoor,French Painter,French,Homme,1700.0,1799.0,France,"['Putti', 'Flowers']",99.0
189544.0,False,1907,True,Overdoor,French Painter,French,Homme,1700.0,1799.0,France,"['Boys', 'Trees']",99.0
189540.0,False,1907,True,Overdoor,Jean-Baptiste Belin de Fontenay the Elder,French,Homme,1685.0,1699.0,France,"['Roses', 'Flowers']",14.0
198052.0,False,1938,True,"Box, painting",Pierre Rouvier,French,Homme,1775.0,1785.0,France,"['Portraits', 'Women']",10.0
194943.0,False,1922,False,Door,Charles Fairfax Murray,British,Homme,1866.0,1876.0,United Kingdom,"['Doors', 'Women', 'Plants']",10.0
194940.0,False,1922,False,Door,Charles Fairfax Murray,British,Homme,1866.0,1876.0,United Kingdom,"['Women', 'Flowers']",10.0
194942.0,False,1922,False,Door,Charles Fairfax Murray,British,Homme,1866.0,1876.0,United Kingdom,"['Doors', 'Men', 'Women']",10.0
